developer,owners
Discovr Labs,50000
DimleTeam,50000
Cuirass Entertainment Ltd.,50000
Ben Otter,50000
ColloseusX,50000
Microsoft Corporation,50000
Michael Nova,50000
Michael Lückgen,50000
Michael Kissinger,50000
Michael Chou,50000
Bradley Hennessey,50000
Skull,50000
Metaverse,50000
Cloudhead Games ltd.,50000
Sketchfab,50000
ds-sans,50000
Boss Baddie,50000
Wolfborg Games,50000
Mediator Software,50000
Bono Games,50000
Neon Serpent LLC,50000
Bondo Games,50000
exosyphen studios,50000
BlueEagle Productions,50000
Connor O.R.T. Linning,50000
galanti,50000
Matthew Reed,50000
Spiele-Palast GmbH,50000
Spilt Milk Studios,50000
Ciro Continisio,50000
Chun Y.,50000
Zac,50000
Bristol Street Studios,50000
aburasobabiyori,50000
Zydrone,50000
Cameron Baxter,50000
Zoink Games,50000
aimino,50000
CGA Studio,50000
Mt.Bamboo Village,50000
Zilby,50000
SnowOwl,50000
Catland,50000
Celeris,50000
Celianna,50000
Murray Lorden,50000
Solid Patterns,50000
"MyDream Interactive, Inc",50000
Smart Online Games,50000
