developer,owners
Sly,780000
SkyGoblin,770000
Digital Eel,770000
Schell Games,760000
Best Way,750000
Ritual Entertainment,750000
NedoStudio,750000
Radial Games Corp,750000
HeR Interactive,750000
GirlGame,750000
InvertMouse,750000
Nerdook Productions,750000
Dancing Dragon Games,740000
Sacred Walrus,740000
Endless Loop Studios,740000
Nightdive Studios,740000
Saber Interactive,740000
Daniil Hasanov,740000
b-alive gmbh,740000
Rake in Grass,730000
JoyBits Ltd.,730000
ZemunBRE,720000
Nuked Games,720000
Grizlikyt,720000
Passtech Games,720000
Flynn's Arcade,720000
Desert Owl Games LLC,720000
Empty Clip Studios,720000
BumpkinBrothers,720000
Deck13,720000
Nerial,720000
Compulsion Games,720000
LEVER Software,720000
Hanako Games,720000
Digital Happiness,720000
Vertigo Games,710000
Virtual Top,710000
Coreplay GmbH,700000
TML-Studios,700000
Digital Dawn Studios,700000
Blackbird Interactive,700000
Tindalos Interactive,700000
Arachnid Games,700000
Dylan Fitterer,700000
17-BIT,700000
Games Farm,700000
Lighthouse Games Studio,700000
Tatyana Murzina,700000
Mind Over Matter Studios,700000
ILMxLAB,700000
Black Shell Games,700000
777 Studios,700000
CreativeForge Games,700000
Tyler Glaiel,700000
Kodots Games,700000
IKEA Communications AB,700000
Playata GmbH,700000
2SD,700000
exagongames,700000
Full Control Studios,700000
The Odd Gentlemen,700000
Igrodelsky,700000
3f Interactive,700000
Spellbound Studios,700000
Cyan Worlds,700000
Fifth Dimension Company,700000
Focus Home Interactive,700000
David OReilly,700000
Noble Master LLC,700000
Strange Loop Games,700000
BANDAI NAMCO Studios,700000
stage-nana,700000
Eduard Mirica,700000
David Mulder,700000
"Hassey Enterprises, Inc.",700000
GrizzlyGames,700000
Doborog Games,700000
Rasul Mono,700000
The Men Who Wear Many Hats,700000
Born Ready Games Ltd.,700000
DolphinBarn,700000
Ubisoft Sofia,700000
EasyGameStation,700000
United Independent Entertainment GmbH,690000
Tamsoft,690000
Fire Hose Games,690000
Sapphire Dragon Productions,690000
Gamious,690000
Shaman Games Studio,680000
Legend Studio,670000
Frontwing,670000
Coatsink,670000
